from,to,miles,hours
Eagle,Home,617.7,9.6
Eagle,Pyramid,130.7,2.82
Eagle,Pepperwood,309.2,6.35
Eagle,Maple Grove,241.9,6.29
Eagle,Hiouchi,330.1,6.64
Eagle,Eureka,269.8,5.59
Eagle,Brookings,354.1,7.17
Eagle,Gold Beach,343.3,7.52
Eagle,Port Orford,362.9,7.92
Eagle,Coos Bay,393.8,7.92
Eagle,Reedsport,396.9,7.67
Eagle,Steamboat,291.4,6.54
Eagle,Forks,691.2,14.18
Eagle,Bogachiel,692.0,14.24
Eagle,Hoh,677.5,13.91
Eagle,Queets,657.8,13.48
Eagle,Eagle,0,0
